"","X","order","pid","ms_subclass","ms_zoning","lot_frontage","lot_area","street","alley","lot_shape","land_contour","utilities","lot_config","land_slope","neighborhood","condition_1","condition_2","bldg_type","house_style","overall_qual","overall_cond","year_built","year_remod.add","roof_style","roof_matl","exterior_1st","exterior_2nd","mas_vnr_type","mas_vnr_area","exter_qual","exter_cond","foundation","bsmt_qual","bsmt_cond","bsmt_exposure","bsmtfin_type_1","bsmtfin_sf_1","bsmtfin_type_2","bsmtfin_sf_2","bsmt_unf_sf","total_bsmt_sf","heating","heating_qc","central_air","electrical","X1st_flr_sf","X2nd_flr_sf","low_qual_fin_sf","gr_liv_area","bsmt_full_bath","bsmt_half_bath","full_bath","half_bath","bedroom_abvgr","kitchen_abvgr","kitchen_qual","totrms_abvgrd","functional","fireplaces","fireplace_qu","garage_type","garage_yr_blt","garage_finish","garage_cars","garage_area","garage_qual","garage_cond","paved_drive","wood_deck_sf","open_porch_sf","enclosed_porch","X3ssn_porch","screen_porch","pool_area","pool_qc","fence","misc_feature","misc_val","mo_sold","yr_sold","sale_type","sale_condition","saleprice"
"1079",1079,1108,528365080,60,"RL",91,10010,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",7,5,1993,1994,"Hip","WdShake","VinylSd","VinylSd","BrkFace",320,"Gd","TA","PConc","Gd","TA","Av","BLQ",228,"GLQ",852,0,1080,"GasA","Ex","Y","SBrkr",1108,1089,0,2197,1,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","Attchd",1993,"Fin",3,783,"TA","TA","Y",385,99,0,0,0,0,NA,NA,NA,0,7,2008,"WD","Normal",287500
"1080",1080,1109,528387050,60,"RL",81,10944,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",7,5,1994,1994,"Gable","CompShg","VinylSd","VinylSd","BrkFace",448,"Gd","TA","PConc","Gd","TA","No","GLQ",1000,"Unf",0,223,1223,"GasA","Ex","Y","SBrkr",1223,904,0,2127,1,0,2,1,3,1,"Gd",5,"Typ",2,"TA","Attchd",1994,"RFn",2,525,"TA","TA","Y",171,132,0,0,0,0,NA,NA,NA,0,8,2008,"WD","Normal",271000
"1081",1081,1110,528390020,20,"RL",91,14303,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","1Story",8,5,1994,1994,"Hip","CompShg","HdBoard","HdBoard","BrkFace",554,"Gd","TA","PConc","Gd","TA","Gd","GLQ",1314,"Unf",0,672,1986,"GasA","Ex","Y","SBrkr",1987,0,0,1987,1,0,2,0,2,1,"Gd",7,"Typ",1,"TA","Attchd",1994,"Fin",2,691,"TA","TA","Y",262,36,0,0,0,0,NA,NA,NA,0,8,2008,"WD","Normal",301500
"1082",1082,1111,528427010,20,"RL",92,11932,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","Somerst","Feedr","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1580,1580,"GasA","Ex","Y","SBrkr",1580,0,0,1580,0,0,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2008,"RFn",3,830,"TA","TA","Y",0,24,0,0,0,0,NA,NA,NA,0,6,2008,"ConLD","Partial",235128
"1083",1083,1112,528427070,60,"RL",86,14598,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Somerst","Feedr","Norm","1Fam","2Story",6,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",74,"Gd","TA","PConc","Gd","TA","Mn","Unf",0,"Unf",0,894,894,"GasA","Ex","Y","SBrkr",894,1039,0,1933,0,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","BuiltIn",2007,"Fin",3,668,"TA","TA","Y",100,18,0,0,0,0,NA,NA,NA,0,1,2008,"WD","Normal",214000
"1085",1085,1114,528429070,20,"RL",74,13253,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","RRAn","Norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",128,"Gd","TA","PConc","Ex","TA","No","GLQ",1096,"Unf",0,482,1578,"GasA","Gd","Y","SBrkr",1578,0,0,1578,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"Unf",3,642,"TA","TA","Y",0,26,0,0,0,0,NA,NA,NA,0,5,2008,"WD","Normal",240000
"1086",1086,1115,528429080,20,"RL",75,14587,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",9,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",284,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1498,1498,"GasA","Ex","Y","SBrkr",1506,0,0,1506,0,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2008,"Fin",2,592,"TA","TA","Y",0,174,0,0,0,0,NA,NA,NA,0,8,2008,"New","Partial",264132
"1087",1087,1116,528431060,20,"RL",78,10206,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",468,"TA","TA","PConc","Gd","TA","No","GLQ",33,"Unf",0,1530,1563,"GasA","Ex","Y","SBrkr",1563,0,0,1563,0,0,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2007,"RFn",3,758,"TA","TA","Y",144,99,0,0,0,0,NA,NA,NA,0,10,2008,"WD","Normal",245000
"1088",1088,1117,528431080,20,"RL",91,12274,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","Somerst","Norm","Norm","1Fam","1Story",7,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",256,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1417,1417,"GasA","Ex","Y","SBrkr",1428,0,0,1428,0,0,2,0,3,1,"Ex",6,"Typ",0,NA,"Attchd",2008,"RFn",2,554,"TA","TA","Y",0,60,0,0,0,0,NA,NA,NA,0,7,2008,"New","Partial",227680
"1092",1092,1121,528458030,20,"FV",72,8640,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1339,1363,"GasA","Ex","Y","SBrkr",1372,0,0,1372,0,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",2008,"RFn",2,588,"TA","TA","Y",192,113,0,0,0,0,NA,NA,NA,0,7,2008,"New","Partial",212700
"1094",1094,1123,528462040,20,"FV",95,11639,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","1Story",7,5,2007,2008,"Gable","CompShg","CemntBd","CmentBd",NA,NA,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1428,1428,"GasA","Ex","Y","SBrkr",1428,0,0,1428,0,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",2007,"Fin",2,480,"TA","TA","Y",0,120,0,0,0,0,NA,NA,NA,0,12,2008,"New","Partial",182000
"1096",1096,1125,528478030,60,"FV",75,9375,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,2003,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",768,"Gd","TA","PConc","Ex","TA","No","Unf",0,"Unf",0,1053,1053,"GasA","Ex","Y","SBrkr",1053,939,0,1992,0,0,2,1,3,1,"Gd",9,"Typ",1,"Gd","Attchd",2003,"RFn",2,648,"TA","TA","Y",140,45,0,0,0,0,NA,NA,NA,0,8,2008,"WD","Normal",250000
"1098",1098,1127,528480060,60,"FV",85,10800,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",100,"Gd","TA","PConc","Ex","TA","No","GLQ",789,"Unf",0,245,1034,"GasA","Ex","Y","SBrkr",1050,1028,0,2078,1,0,2,1,3,1,"Ex",8,"Typ",1,"Gd","Attchd",2008,"Fin",3,836,"TA","TA","Y",0,102,0,0,0,0,NA,NA,NA,0,4,2008,"New","Partial",339750
"1100",1100,1129,528482020,20,"FV",85,10625,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","BrkFace",292,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1660,1660,"GasA","Ex","Y","SBrkr",1660,0,0,1660,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2007,"Fin",3,660,"TA","TA","Y",133,120,0,0,0,0,NA,NA,NA,0,6,2008,"WD","Normal",256000
"1101",1101,1130,528488140,20,"FV",62,7500,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",7,5,2007,2008,"Gable","CompShg","CemntBd","CmentBd","Stone",210,"Gd","TA","PConc","Gd","TA","No","GLQ",902,"Unf",0,316,1218,"GasA","Ex","Y","SBrkr",1218,0,0,1218,1,0,2,0,2,1,"Gd",6,"Typ",0,NA,"Attchd",2008,"Fin",2,462,"TA","TA","Y",168,168,0,0,0,0,NA,NA,NA,0,4,2008,"New","Partial",230348
"1102",1102,1131,528490080,60,"FV",64,8791,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",6,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Rec",503,"Unf",0,361,864,"GasA","Ex","Y","SBrkr",864,864,0,1728,0,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",2003,"RFn",2,673,"TA","TA","Y",216,56,0,0,0,0,NA,NA,NA,0,5,2008,"WD","Normal",207500
"1103",1103,1132,531363060,20,"RL",63,7500,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",120,"TA","TA","PConc","Gd","TA","No","GLQ",680,"Unf",0,400,1080,"GasA","Ex","Y","SBrkr",1080,0,0,1080,1,0,1,0,3,1,"Gd",6,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",0,0,0,0,0,0,NA,NA,NA,0,4,2008,"WD","Normal",141000
"1104",1104,1133,531371070,60,"RL",68,10110,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Mn","GLQ",80,"ALQ",555,200,835,"GasA","Ex","Y","SBrkr",835,861,0,1696,1,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",2003,"RFn",2,542,"TA","TA","Y",143,66,0,0,0,0,NA,NA,NA,0,7,2008,"WD","Normal",188000
"1105",1105,1134,531373060,60,"RL",67,12774,"Pave",NA,"Reg","Lvl","AllPub","FR2","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",95,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,835,835,"GasA","Ex","Y","SBrkr",835,828,0,1663,0,0,2,1,3,1,"Gd",8,"Typ",0,NA,"Attchd",2003,"RFn",2,478,"TA","TA","Y",168,68,0,0,0,0,NA,NA,NA,0,7,2008,"WD","Normal",192500
"1106",1106,1135,531375050,20,"RL",63,13072,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",6,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",126,"TA","TA","PConc","Gd","Gd","No","GLQ",80,"Unf",0,1095,1175,"GasA","Ex","Y","SBrkr",1175,0,0,1175,1,0,1,0,3,1,"Gd",6,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,"Y",0,90,0,0,0,0,NA,NA,NA,0,6,2008,"WD","Normal",146000
"1107",1107,1136,531375110,20,"RL",66,13695,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",0,468,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,"Typ",0,NA,"Detchd",2004,"Unf",2,576,"TA","TA","Y",0,102,0,0,0,0,NA,NA,NA,0,6,2008,"WD","Normal",159000
"1109",1109,1138,531376010,60,"RL",65,8366,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,798,798,"GasA","Ex","Y","SBrkr",798,842,0,1640,0,0,2,1,3,1,"Gd",6,"Typ",0,NA,"Attchd",2004,"RFn",2,520,"TA","TA","Y",138,45,0,0,0,0,NA,NA,NA,0,12,2008,"WD","Normal",173000
"1110",1110,1139,531376070,20,"RL",81,9260,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Mn","Unf",0,"Unf",0,1162,1162,"GasA","Ex","Y","SBrkr",1162,0,0,1162,0,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",2007,"Fin",2,483,"TA","TA","Y",0,32,0,0,0,0,NA,NA,NA,0,3,2008,"WD","Normal",170000
"1112",1112,1141,531382110,60,"RL",50,8480,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,5,1993,1994,"Gable","CompShg","HdBoard","HdBoard","BrkFace",120,"Gd","TA","PConc","Gd","TA","No","GLQ",602,"Unf",0,284,886,"GasA","Ex","Y","SBrkr",886,794,0,1680,0,1,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",1993,"RFn",2,474,"TA","TA","Y",144,96,0,0,0,0,NA,NA,NA,0,10,2008,"WD","Normal",163000
"1113",1113,1142,531382120,20,"RL",65,8125,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",6,5,1994,1998,"Gable","CompShg","HdBoard","HdBoard","BrkFace",258,"TA","TA","PConc","Gd","TA","No","GLQ",1138,"Unf",0,270,1408,"GasA","Ex","Y","SBrkr",1679,0,0,1679,1,0,2,0,3,1,"Gd",7,"Typ",1,"Fa","Attchd",1994,"RFn",2,575,"TA","TA","Y",224,42,0,0,0,0,NA,NA,NA,0,10,2008,"WD","Normal",193500
"1115",1115,1144,531385060,60,"RL",65,8450,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",472,"Unf",0,355,827,"GasA","Ex","Y","SBrkr",827,850,0,1677,1,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",2001,"RFn",2,627,"TA","TA","Y",0,68,0,0,0,0,NA,NA,NA,0,9,2008,"WD","Normal",190500
"1117",1117,1146,531450090,20,"RL",NA,7153,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",6,5,1991,1991,"Gable","CompShg","HdBoard","HdBoard","BrkFace",88,"TA","TA","CBlock","Gd","TA","No","GLQ",1200,"Unf",0,78,1278,"GasA","Gd","Y","SBrkr",1294,0,0,1294,1,0,2,0,3,1,"Gd",6,"Typ",0,NA,"Attchd",1991,"RFn",2,496,"TA","TA","Y",112,51,0,0,0,0,NA,"GdWo",NA,0,6,2008,"WD","Normal",179200
"1118",1118,1147,531450170,60,"RL",76,9291,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","SawyerW","RRNe","Norm","1Fam","2Story",6,5,1993,1993,"Gable","CompShg","HdBoard","HdBoard","BrkFace",120,"Gd","TA","PConc","Gd","TA","No","GLQ",426,"Unf",0,406,832,"GasA","Ex","Y","SBrkr",832,878,0,1710,0,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Attchd",1993,"RFn",2,506,"TA","TA","Y",144,70,0,0,0,0,NA,NA,NA,0,6,2008,"WD","Normal",187000
"1119",1119,1148,531451020,120,"RL",50,8012,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1993,1994,"Gable","CompShg","Plywood","Plywood","None",0,"Gd","TA","PConc","Gd","TA","No","LwQ",165,"GLQ",841,598,1604,"GasA","Ex","Y","SBrkr",1617,0,0,1617,1,0,2,0,2,1,"Gd",5,"Typ",1,"Fa","Attchd",1993,"RFn",2,533,"TA","TA","Y",0,69,0,0,0,0,NA,NA,NA,0,7,2008,"WD","Normal",193000
"1120",1120,1149,531452140,120,"RL",55,7892,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1993,1993,"Gable","CompShg","Plywood","Plywood","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",300,"Unf",0,899,1199,"GasA","Ex","Y","SBrkr",1199,0,0,1199,0,0,2,0,2,1,"Gd",5,"Typ",0,NA,"Attchd",1993,"RFn",2,530,"TA","TA","Y",0,63,0,0,0,0,NA,NA,NA,0,3,2008,"WD","Normal",153900
"1123",1123,1152,532354150,20,"RL",75,8100,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,8,1961,2007,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",764,"Unf",0,100,864,"GasA","Ex","Y","SBrkr",864,0,0,864,1,0,1,0,3,1,"Gd",5,"Typ",1,"TA","Detchd",1962,"Unf",1,420,"TA","TA","Y",132,0,0,0,0,0,NA,NA,NA,0,7,2008,"WD","Normal",135000
"1124",1124,1153,532376170,190,"RL",65,8450,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Sawyer","RRAe","Norm","2fmCon","1Story",5,5,1968,1968,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","Fa","Mn","ALQ",890,"Unf",0,0,890,"GasA","Gd","N","SBrkr",890,0,0,890,1,0,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1970,"Unf",1,308,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,4,2008,"WD","Normal",115000
"1126",1126,1155,532378200,20,"RL",65,6768,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",6,8,1961,1996,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","TA","TA","Mn","GLQ",832,"Unf",0,80,912,"GasA","Gd","Y","SBrkr",912,0,0,912,1,1,1,0,3,1,"Gd",5,"Typ",0,NA,"Detchd",1962,"Unf",1,288,"TA","TA","Y",168,0,0,0,0,0,NA,"GdPrv",NA,0,5,2008,"WD","Normal",142000
"1127",1127,1156,532477030,20,"RL",95,19508,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Veenker","Norm","Norm","1Fam","1Story",6,5,1974,1974,"Gable","CompShg","HdBoard","ImStucc","BrkFace",144,"TA","TA","CBlock","TA","TA","Av","ALQ",800,"Unf",0,630,1430,"GasA","TA","Y","SBrkr",1430,0,0,1430,0,1,2,0,3,1,"TA",6,"Typ",2,"TA","Attchd",1974,"Unf",2,484,"TA","TA","Y",117,108,165,0,0,0,NA,NA,NA,0,7,2008,"WD","Normal",192000
"1128",1128,1157,532479020,50,"RL",70,10759,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1.5Fin",5,4,1972,1972,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","Gd","TA","No","LwQ",190,"ALQ",811,0,1001,"GasA","TA","Y","SBrkr",1001,640,0,1641,0,0,2,0,4,1,"TA",5,"Typ",1,"Gd","Detchd",1972,"Unf",2,490,"TA","TA","Y",0,0,92,0,0,0,NA,"GdPrv",NA,0,7,2008,"WD","Normal",140000
"1129",1129,1158,533125080,60,"RL",NA,9205,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","2Story",6,5,1990,1991,"Hip","CompShg","HdBoard","HdBoard","BrkFace",304,"Gd","TA","PConc","Gd","TA","No","ALQ",704,"Unf",0,226,930,"GasA","Ex","Y","SBrkr",1364,1319,0,2683,1,0,2,1,4,1,"Gd",9,"Typ",2,"Gd","Attchd",1990,"RFn",2,473,"TA","TA","Y",237,251,0,0,196,0,NA,NA,NA,0,6,2008,"WD","Normal",290000
"1130",1130,1159,533125140,60,"RL",105,11025,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","1.5Fin",9,5,1993,1994,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",568,"Gd","TA","PConc","Gd","TA","Gd","BLQ",520,"Unf",0,1328,1848,"GasA","Ex","Y","SBrkr",1827,959,0,2786,1,0,2,1,4,1,"Gd",10,"Typ",1,"Ex","Attchd",1993,"Fin",2,636,"TA","TA","Y",294,49,0,0,0,0,NA,NA,NA,0,6,2008,"WD","Normal",372500
"1132",1132,1161,533208080,160,"FV",35,4017,"Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2006,2007,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,625,625,"GasA","Ex","Y","SBrkr",625,625,0,1250,0,0,2,1,2,1,"Gd",5,"Typ",0,NA,"Detchd",2006,"Fin",2,625,"TA","TA","Y",0,54,0,0,0,0,NA,NA,NA,0,3,2008,"WD","Normal",171900
"1134",1134,1163,533212050,160,"FV",30,3180,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",6,5,2005,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",390,"Unf",0,210,600,"GasA","Ex","Y","SBrkr",600,600,0,1200,1,0,2,1,2,1,"Gd",5,"Typ",0,NA,"Detchd",2005,"RFn",2,480,"TA","TA","Y",0,166,0,0,0,0,NA,NA,NA,0,5,2008,"WD","Normal",165000
"1136",1136,1165,533212150,160,"FV",34,3604,"Pave","Pave","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,689,689,"GasA","Ex","Y","SBrkr",703,689,0,1392,0,0,2,0,2,1,"Gd",5,"Typ",0,NA,"Detchd",2007,"Unf",2,540,"TA","TA","Y",0,102,0,0,0,0,NA,NA,NA,0,2,2008,"WD","Abnorml",146000
"1140",1140,1169,533215030,120,"FV",NA,4538,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",9,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","BrkFace",179,"Gd","TA","PConc","Ex","TA","Av","GLQ",1004,"Unf",0,306,1310,"GasA","Ex","Y","SBrkr",1310,0,0,1310,1,0,1,1,1,1,"Gd",5,"Typ",1,"TA","Attchd",2001,"RFn",2,545,"TA","TA","Y",277,45,0,0,0,0,NA,NA,NA,0,7,2008,"WD","Normal",285000
"1141",1141,1170,533215040,120,"FV",42,4385,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",9,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","GLQ",964,"Unf",0,455,1419,"GasA","Ex","Y","SBrkr",1419,0,0,1419,1,0,1,1,2,1,"Ex",5,"Typ",1,"TA","Attchd",2001,"Fin",2,588,"TA","TA","Y",155,58,0,0,0,0,NA,NA,NA,0,9,2008,"WD","Normal",290000
"1143",1143,1172,533215080,120,"FV",50,5119,"Pave",NA,"IR1","Lvl","AllPub","CulDSac","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",9,5,1999,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",60,"Gd","TA","PConc","Ex","TA","Av","GLQ",1238,"Unf",0,460,1698,"GasA","Ex","Y","SBrkr",1709,0,0,1709,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd",1999,"Fin",2,506,"TA","TA","Y",97,65,0,0,0,0,NA,NA,NA,0,1,2008,"CWD","Abnorml",328900
"1146",1146,1175,533234020,60,"FV",79,10646,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","BrkFace",513,"TA","TA","PConc","TA","TA","No","GLQ",681,"Unf",0,177,858,"GasA","Ex","Y","SBrkr",872,917,0,1789,1,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2001,"Fin",2,546,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,6,2008,"WD","Normal",223000
"1147",1147,1176,533236060,160,"FV",24,2645,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",8,5,1999,1999,"Gable","CompShg","MetalSd","MetalSd","BrkFace",466,"Gd","TA","PConc","Gd","TA","No","GLQ",612,"Unf",0,348,960,"GasA","Ex","Y","SBrkr",962,624,0,1586,1,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Detchd",1999,"Unf",2,480,"TA","TA","Y",169,0,0,0,0,0,NA,NA,NA,0,12,2008,"WD","Normal",170000
"1148",1148,1177,533236070,160,"FV",24,2645,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",456,"Gd","TA","PConc","Gd","TA","No","GLQ",813,"Unf",0,147,960,"GasA","Ex","Y","SBrkr",962,645,0,1607,1,0,2,1,3,1,"Gd",7,"Typ",0,NA,"Detchd",2000,"Unf",2,480,"TA","TA","Y",169,0,0,0,0,0,NA,NA,NA,0,12,2008,"ConLD","Normal",2e+05
"1149",1149,1178,533236090,160,"FV",36,3951,"Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",10,5,1998,1999,"Gable","CompShg","BrkFace","MetalSd","None",0,"Ex","TA","PConc","Gd","TA","Mn","BLQ",128,"GLQ",842,0,970,"GasA","Ex","Y","SBrkr",1469,924,0,2393,1,0,2,1,2,1,"Ex",7,"Typ",1,"TA","Attchd",1998,"Fin",2,846,"TA","TA","Y",0,90,0,0,94,0,NA,NA,NA,0,2,2008,"WD","Normal",345000
